slug,parent_college,name,arl_name,arl_code,url
asu,asu,Library,ARIZONA STATE,400,https://lib.asu.edu/
auburn,auburn,Libraries,AUBURN,440,https://www.lib.auburn.edu/
bc,bc,Libraries,BOSTON COLLEGE,550,https://library.bc.edu/
bu,bu,Libraries,BOSTON,500,http://www.bu.edu/library/
byu,byu,Harold B. Lee Library,BRIGHAM YOUNG,600,https://lib.byu.edu/
brown,brown,Library,BROWN,800,https://library.brown.edu/
case,case,Kelvin Smith Library,CASE WESTERN RESERVE,1500,http://library.case.edu/
colostate,colostate,Libraries,COLORADO STATE,1900,https://lib.colostate.edu/
columbia,columbia,Libraries,COLUMBIA,2000,https://library.columbia.edu/
cornell,cornell,Library,CORNELL,2200,https://www.library.cornell.edu/
dartmouth,dartmouth,Library,DARTMOUTH,2300,https://www.library.dartmouth.edu/
duke,duke,Libraries,DUKE,2400,https://library.duke.edu/
emory,emory,Robert W. Woodruff Library,EMORY,2500,http://web.library.emory.edu/
fsu,fsu,Libraries,FLORIDA STATE,2700,https://www.lib.fsu.edu/
gwu,gwu,Libraries,GEORGE WASHINGTON,2750,https://library.gwu.edu/
georgetown,georgetown,Library,GEORGETOWN,2800,https://www.library.gatech.edu/
gatech,gatech,Library,GEORGIA TECH,2950,https://www.library.gatech.edu/
harvard,harvard,Library,HARVARD,3100,https://library.harvard.edu/
howard,howard,Libraries,HOWARD,3400,http://library.howard.edu/library/
indiana,indiana,Libraries,INDIANA,3600,https://libraries.indiana.edu/
iastate,iastate,University Library,IOWA STATE,3800,http://www.lib.iastate.edu/
jhu,jhu,Sheridan Libraries,JOHNS HOPKINS,3900,https://www.library.jhu.edu/
kent,kent,Libraries,KENT STATE,4200,https://www.library.kent.edu/
lsu,lsu,Libraries,LOUISIANA STATE,4400,https://www.lib.lsu.edu/
mit,mit,Libraries,MIT,4900,https://libraries.mit.edu/
miamioh,miamioh,Libraries,MIAMI,5000,https://www.lib.miamioh.edu/
msu,msu,Libraries,MICHIGAN STATE,5200,https://lib.msu.edu/
nyu,nyu,Division of Libraries,NEW YORK,5700,http://library.nyu.edu/
ncsu,ncsu,Libraries,NORTH CAROLINA STATE,5850,https://www.lib.ncsu.edu/
nw,nw,Libraries,NORTHWESTERN,5900,https://www.library.northwestern.edu/
osu,osu,Libraries,OHIO STATE,6100,https://library.osu.edu/
okstate,okstate,Library,OKLAHOMA STATE,6300,https://library.okstate.edu/
psu,psu,Libraries,PENNSYLVANIA STATE,6600,https://libraries.psu.edu/
princeton,princeton,Library,PRINCETON,6800,http://library.princeton.edu/
purdue,purdue,Libraries,PURDUE,6900,https://www.lib.purdue.edu/
rice,rice,Fondren Library,RICE,7100,https://library.rice.edu/
rutgers,rutgers,Libraries,RUTGERS,7300,https://www.libraries.rutgers.edu/
siu,siu,Morris Library,SOUTHERN ILLINOIS,7600,https://lib.siu.edu/
stanford,stanford,Libraries,STANFORD,7700,https://library.stanford.edu/
albany,albany,University Libraries,SUNY-ALBANY,7800,https://library.albany.edu/
buffalo,buffalo,University Libraries,SUNY-BUFFALO,7900,https://library.buffalo.edu/
stonybrook,stonybrook,Libraries,SUNY-STONY BROOK,8000,http://www.library.stonybrook.edu/
syr,syr,Libraries,SYRACUSE,8100,https://library.syr.edu/
temple,temple,Libraries,TEMPLE,8200,https://library.temple.edu/
tamu,tamu,Libraries,TEXAS A&M,8500,https://library.tamu.edu/
ttu,ttu,University Libraries,TEXAS TECH,8550,https://library.ttu.edu/
tulane,tulane,Howard Tilton Memorial Library,TULANE,8700,https://library.tulane.edu/
ua,ua,Libraries,ALABAMA,100,https://www.lib.ua.edu/
arizona,arizona,University Libraries,ARIZONA,300,http://new.library.arizona.edu/
berkeley,berkeley,Library,"CALIFORNIA, BERKELEY",900,http://www.lib.berkeley.edu/
ucdavis,ucdavis,University Library,"CALIFORNIA, DAVIS",1000,https://www.library.ucdavis.edu/
uci,uci,Libraries,"CALIFORNIA, IRVINE",1050,https://lib.uci.edu/
ucla,ucla,Library,"CALIFORNIA, LOS ANGELES",1100,http://www.library.ucla.edu/
ucr,ucr,Library,"CALIFORNIA, RIVERSIDE",1200,https://library.ucr.edu/
ucsd,ucsd,Library,"CALIFORNIA, SAN DIEGO",1300,https://library.ucsd.edu/
scsb,scsb,Library,"CALIFORNIA, SANTA BARBARA",1400,https://www.library.ucsb.edu/
uchicago,uchicago,Library,CHICAGO,1600,https://www.lib.uchicago.edu/
uc,uc,Libraries,CINCINNATI,1700,https://www.libraries.uc.edu/
colorado,colorado,University Libraries,COLORADO,1800,https://www.colorado.edu/libraries/
uconn,uconn,Library,CONNECTICUT,2100,https://lib.uconn.edu/
udel,udel,"Library, Museums & Press",DELAWARE,2350,https://library.udel.edu/
ufl,ufl,George A. Smathers Libraries,FLORIDA,2600,http://library.ufl.edu/
uga,uga,Libraries,GEORGIA,2900,https://www.libs.uga.edu/
hawaii,hawaii,Library,HAWAII,3200,http://manoa.hawaii.edu/library/
uh,uh,Libraries,HOUSTON,3300,https://libraries.uh.edu/
illinois,illinois,University Library,"ILLINOIS, URBANA",3500,https://library.illinois.edu/
uic,uic,Library,"ILLINOIS, CHICAGO",3490,https://library.uic.edu/
uiowa,uiowa,Libraries,IOWA,3700,https://www.lib.uiowa.edu/
ku,ku,Libraries,KANSAS,4100,https://lib.ku.edu/
uky,uky,Libraries,KENTUCKY,4300,http://libraries.uky.edu/
louisville,louisville,Libraries,LOUISVILLE,4420,http://louisville.edu/library/
umd,umd,Libraries,MARYLAND,4700,https://www.lib.umd.edu/
umass,umass,Libraries,MASSACHUSETTS,4800,https://www.library.umass.edu/
umich,umich,Library,MICHIGAN,5100,https://www.lib.umich.edu/
umn,umn,Libraries,MINNESOTA,5300,https://www.lib.umn.edu/
missouri,missouri,Libraries,MISSOURI,5400,http://library.missouri.edu/
unl,unl,Libraries,NEBRASKA,5500,https://libraries.unl.edu/
unm,unm,Libraries,NEW MEXICO,5600,https://library.unm.edu/
unc,unc,Libraries,NORTH CAROLINA,5800,https://library.unc.edu/
nd,nd,Hesburgh Libraries,NOTRE DAME,6000,https://library.nd.edu/
ohio,ohio,University Libraries,OHIO,6050,https://www.library.ohio.edu/
ou,ou,Libraries,OKLAHOMA,6200,https://libraries.ou.edu/
uoregon,uoregon,Libraries,OREGON,6400,https://library.uoregon.edu/
upenn,upenn,Libraries,PENNSYLVANIA,6500,https://www.library.upenn.edu/
pitt,pitt,University Library System,PITTSBURGH,6700,https://www.library.pitt.edu/
rochester,rochester,River Campus Libraries,ROCHESTER,7200,https://library.rochester.edu/
sc,sc,University Libraries,SOUTH CAROLINA,7400,http://library.sc.edu/
