librarySlug,url,category
asu,https://lib.asu.edu/,root
asu,http://asu.edu/lib/,root
auburn,https://www.lib.auburn.edu/,root
bc,https://library.bc.edu/,root
bu,http://www.bu.edu/library/,root
byu,https://lib.byu.edu/,root
brown,https://library.brown.edu/,root
case,http://library.case.edu/,root
colostate,https://lib.colostate.edu/,root
columbia,https://library.columbia.edu/,root
cornell,https://www.library.cornell.edu/,root
dartmouth,https://www.library.dartmouth.edu/,root
duke,https://library.duke.edu/,root
emory,http://web.library.emory.edu/,root
fsu,https://www.lib.fsu.edu/,root
gwu,https://library.gwu.edu/,root
georgetown,https://www.library.georgetown.edu/,root
gatech,https://www.library.gatech.edu/,root
harvard,https://library.harvard.edu/,root
howard,http://library.howard.edu/library/,root
indiana,https://libraries.indiana.edu/,root
iastate,http://www.lib.iastate.edu/,root
jhu,https://www.library.jhu.edu/,root
kent,https://www.library.kent.edu/,root
lsu,https://www.lib.lsu.edu/,root
mit,https://libraries.mit.edu/,root
miamioh,https://www.lib.miamioh.edu/,root
msu,https://lib.msu.edu/,root
nyu,http://library.nyu.edu/,root
ncsu,https://www.lib.ncsu.edu/,root
nw,https://www.library.northwestern.edu/,root
osu,https://library.osu.edu/,root
okstate,https://library.okstate.edu/,root
psu,https://libraries.psu.edu/,root
princeton,http://library.princeton.edu/,root
purdue,https://www.lib.purdue.edu/,root
rice,https://library.rice.edu/,root
rutgers,https://www.libraries.rutgers.edu/,root
siu,https://lib.siu.edu/,root
stanford,https://library.stanford.edu/,root
albany,https://library.albany.edu/,root
buffalo,https://library.buffalo.edu/,root
stonybrook,http://www.library.stonybrook.edu/,root
syr,https://library.syr.edu/,root
temple,https://library.temple.edu/,root
tamu,https://library.tamu.edu/,root
ttu,https://library.ttu.edu/,root
tulane,https://library.tulane.edu/,root
ua,https://www.lib.ua.edu/,root
arizona,http://new.library.arizona.edu/,root
berkeley,http://www.lib.berkeley.edu/,root
ucdavis,https://www.library.ucdavis.edu/,root
uci,https://lib.uci.edu/,root
ucla,http://www.library.ucla.edu/,root
ucr,https://library.ucr.edu/,root
ucsd,https://library.ucsd.edu/,root
scsb,https://www.library.ucsb.edu/,root
uchicago,https://www.lib.uchicago.edu/,root
uc,https://www.libraries.uc.edu/,root
colorado,https://www.colorado.edu/libraries/,root
uconn,https://lib.uconn.edu/,root
udel,https://library.udel.edu/,root
ufl,http://library.ufl.edu/,root
uga,https://www.libs.uga.edu/,root
hawaii,http://manoa.hawaii.edu/library/,root
uh,https://libraries.uh.edu/,root
illinois,https://library.illinois.edu/,root
uic,https://library.uic.edu/about,about
uic,https://library.uic.edu/,root
uiowa,https://www.lib.uiowa.edu/,root
ku,https://lib.ku.edu/,root
uky,http://libraries.uky.edu/,root
louisville,http://louisville.edu/library/,root
umd,https://www.lib.umd.edu/,root
umass,https://www.library.umass.edu/,root
umich,https://www.lib.umich.edu/,root
umn,https://www.lib.umn.edu/,root
missouri,http://library.missouri.edu/,root
unl,https://libraries.unl.edu/,root
unm,https://library.unm.edu/,root
unc,https://library.unc.edu/,root
nd,https://library.nd.edu/,root
ohio,https://www.library.ohio.edu/,root
ou,https://libraries.ou.edu/,root
uoregon,https://library.uoregon.edu/,root
upenn,https://www.library.upenn.edu/,root
pitt,https://www.library.pitt.edu/,root
rochester,https://library.rochester.edu/,root
sc,http://library.sc.edu/,root
usc,https://libraries.usc.edu/,root
utk,https://www.lib.utk.edu/,root
utexas,https://www.lib.utexas.edu/,root
utah,https://lib.utah.edu/,root
virginia,https://www.library.virginia.edu/,root
washington,http://www.lib.washington.edu/,root
wisc,https://www.library.wisc.edu/,root
vanderbilt,https://www.library.vanderbilt.edu/about/,about
vanderbilt,https://www.library.vanderbilt.edu/,root
vt,https://lib.vt.edu/,root
wsu,https://libraries.wsu.edu/,root
wustl,https://library.wustl.edu/,root
wayne,http://lib.wayne.edu/,root
wayne,https://library.wayne.edu/,root
yale,https://web.library.yale.edu/,root

fsu,https://www.lib.fsu.edu/,root
umich,https://www.lib.umich.edu/,root
utk,https://www.lib.utk.edu/,root
brown,https://library.brown.edu/,root
siu,https://lib.siu.edu/,root
illinois,https://library.illinois.edu/,root
